1090719 words in 29758 sentences. Total 99000 sentences.

Epoch	LOSS	PREC	RECL	F1
1	1.375	0.395	0.201	0.267
2	1.217	0.358	0.293	0.322
3	1.203	0.377	0.287	0.326
4	1.189	0.412	0.295	0.344
5	1.185	0.413	0.298	0.346
6	1.178	0.410	0.292	0.341
7	1.179	0.417	0.299	0.349
8	1.180	0.410	0.302	0.348
9	1.182	0.420	0.302	0.351
10	1.182	0.410	0.292	0.341
11	1.182	0.420	0.301	0.351
12	1.180	0.409	0.301	0.347
13	1.180	0.407	0.293	0.341
14	1.178	0.412	0.293	0.343
15	1.183	0.409	0.295	0.343
16	1.179	0.412	0.296	0.345
17	1.180	0.406	0.290	0.339
18	1.180	0.423	0.299	0.351
19	1.181	0.418	0.299	0.349
20	1.178	0.414	0.298	0.346
21	1.181	0.394	0.284	0.330
22	1.178	0.410	0.302	0.348
23	1.179	0.403	0.292	0.338
24	1.180	0.410	0.295	0.343
25	1.179	0.414	0.305	0.351
26	1.180	0.394	0.287	0.332
27	1.178	0.388	0.286	0.329
28	1.182	0.419	0.302	0.351
29	1.183	0.402	0.287	0.335
30	1.181	0.420	0.298	0.348

1.221	0.426	0.292	0.346
