362864 words in 9885 sentences. Total 99000 sentences.

Epoch	LOSS	PREC	RECL	F1
1	1.828	0.256	0.050	0.084
2	1.572	0.500	0.034	0.063
3	1.499	0.363	0.075	0.124
4	1.475	0.311	0.108	0.161
5	1.469	0.307	0.099	0.150
6	1.469	0.306	0.102	0.153
7	1.467	0.319	0.105	0.158
8	1.468	0.313	0.104	0.156
9	1.468	0.329	0.108	0.163
10	1.466	0.349	0.115	0.172
11	1.468	0.336	0.110	0.166
12	1.468	0.310	0.102	0.154
13	1.469	0.325	0.104	0.157
14	1.468	0.315	0.104	0.156
15	1.468	0.327	0.113	0.168

1.489	0.289	0.103	0.152
